
"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MANUFACTURER","MF","MP","PARTREV","Package","Price","STANDARD","Sim.Device","Sim.Enable","Sim.Pins","SnapEDA_Link"
"1","1","C1","68nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","0","",""
"2","1","C2","390nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","0","",""
"3","1","C3","180nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","0","",""
"4","2","C4, C5","10nF","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","","","","","","","","","","","","","0","",""
"5","1","C6","0.33uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","",""
"6","1","C7","0.1uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","",""
"7","1","D1","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","","D","","1=K 2=A",""
"8","1","D2","SSR","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","","","","","","","","",""
"9","1","D3","POWER_LED","Device:LED","LED_THT:LED_D5.0mm","~","","","","","","","","","","","","","","",""
"10","1","F1","Fuse","Device:Fuse","Fuse:Fuseholder_Littelfuse_100_series_5x30mm","~","","","","","","","","","","","","","","",""
"11","5","H1, H2, H3, H4, H5","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","","","","","","","","",""
"12","1","J1","AC_Con","Connector:Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","~","","","","","","","","","","","","","","",""
"13","1","J2","OLED 0.91","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","",""
"14","1","J3","PTC_Con","Connector:Screw_Terminal_01x02","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal","~","","","","","","","","","","","","","","",""
"15","1","J4","Barrel_Jack_Switch_Pin3Ring","Connector:Barrel_Jack_Switch_Pin3Ring","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","","","","","","","","",""
"16","1","K1","G3MB202PDC12","G3MB202PDC12:G3MB202PDC12","downloadedLibrary:RELAY_G3MB202PDC12","","","In Stock","https://www.snapeda.com/parts/G3MB-202P-DC12/Omron+Automation+and+Safety/view-part/?ref=eda","Solid State Relays - PCB Mount 12VDC/100-240VAC 2A","Omron","Omron Automation and Safety","G3MB-202P-DC12","N/A","SIP-4 Omron Automation","None","Manufacturer Recommendation","","","","https://www.snapeda.com/parts/G3MB-202P-DC12/Omron+Automation+and+Safety/view-part/?ref=snap"
"17","1","Q1","BC557","Transistor_BJT:BC557","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","","","","","","","","","","","","","","",""
"18","5","R1, R2, R4, R5, R6","25k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
"19","1","R3","2.5k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
"20","3","R7, R18, R22","1k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
"21","1","R8","17.4k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
"22","1","R9","107k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
"23","1","R10","5.1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","0","",""
